Date,Open,High,Low,Close,Volume
1970-12-31,182.63,185.7,147.08,148.35,0
1971-12-31,149.02,209,148.05,199.45,0
1972-12-31,199.93,401.7,199.93,401.7,0
1973-12-31,403.92,422.48,284.69,306.44,0
1974-12-31,304.12,342.47,251.96,278.34,0
1975-12-31,276.04,333.11,268.24,323.43,0
1976-12-31,326.28,383.88,326.28,383.88,0
1977-12-31,384.14,390.93,350.49,364.08,0
1978-12-31,364.04,452.6,364.04,449.55,0
1979-12-31,452.85,465.24,435.13,459.61,0
1980-12-31,458.8,497.96,449.01,494.1,0
1981-12-31,495.79,603.92,495.79,570.31,0
1982-12-31,572.38,593.72,511.52,593.72,0
1983-12-31,592.64,731.82,574.51,731.82,0
1984-12-31,735.45,913.37,735.45,913.37,0
1985-12-31,916.93,1058.35,916.93,1049.4,0
1986-12-31,1049.13,1583.35,1025.85,1556.37,0
1987-12-31,1575.31,2258.56,1557.46,1725.83,0
1988-12-31,1690.44,2357.03,1690.44,2357.03,0
1989-12-31,2375.3,2884.8,2364.33,2881.37,0
1990-12-31,2867.7,2867.7,1523.43,1733.83,0
1991-12-31,1740.92,2028.85,1638.06,1714.68,0
1992-12-31,1763.43,1763.43,1102.5,1307.66,0
1993-12-31,1305.81,1698.67,1250.06,1439.31,0
1994-12-31,1445.97,1712.73,1445.97,1559.09,0
1995-12-31,1553.4,1585.87,1193.16,1577.7,0
1996-12-31,1631.06,1722.13,1448.45,1470.94,0
1997-12-31,1480.86,1560.28,1130,1175.03,0
1998-12-31,1166.63,1300.3,980.11,1086.99,0
1999-12-31,1064.92,1722.2,1048.33,1722.2,0
2000-12-31,1717.47,1754.78,1255.16,1283.67,0
2001-12-31,1280.94,1440.97,988.98,1032.14,0
2002-12-31,1053.96,1139.43,815.74,843.29,0
2003-12-31,860.07,1105.59,770.62,1043.69,0
2004-12-31,1175.7,1225.97,1051.57,1149.63,0
2005-12-31,1147.24,1673.18,1104.3,1649.76,0
2006-12-31,1666.75,1783.72,1439,1681.07,0
2007-12-31,1692.94,1823.89,1417.47,1475.68,0
2008-12-31,1461.23,1461.31,721.53,859.24,2091714880
2009-12-31,871.01,987.27,698.46,907.59,514478192384
2010-12-31,912.48,1001.77,799.64,898.8,468654814592
2011-12-31,909.44,976.28,703.88,728.61,477768373824
2012-12-31,737.52,872.42,692.18,859.8,463162267008
2013-12-31,876.97,1302.87,862.62,1302.29,772064707584
2014-12-31,1297.79,1454.22,1121.5,1407.51,547787923456
2015-12-31,1400.87,1702.83,1343.29,1547.3,552945577216
2016-12-31,1532.53,1558.75,1192.8,1518.61,524688369664
2017-12-31,1533.04,1844.05,1452.15,1817.56,433426629760
2018-12-31,1841.2,1911.31,1408.89,1494.09,357895209664
2019-12-31,1468.42,1747.2,1446.48,1721.36,287452473200
2020-12-31,1699.6,1819.46,1199.25,1804.68,325185672800
2021-12-31,1810.45,2120.18,1776.6,1992.33,292932331500
2022-12-31,2015.61,2042,1755.14,1891.71,304830692600
2023-12-31,1879.19,2438.02,1862.27,2366.39,349870960400
2024-12-31,2359.28,2820.45,2335.58,2728.53,149991892500
